ticker,date,price_usd,market_cap
BTC,2012-01-01,5.2948427773232,42409572.6562994
BTC,2012-01-02,5.2048778918761,41728286.7388057
BTC,2012-01-03,4.87050882875511,39086320.3529375
BTC,2012-01-04,5.58570626709527,44867464.819899
BTC,2012-01-05,6.87400087726476,55266279.5843809
BTC,2012-01-06,6.68331663997662,53790339.7441866
BTC,2012-01-07,6.79622798071303,54761626.32083
BTC,2012-01-08,7.09665056633548,57240164.0669821
BTC,2012-01-09,6.28853834248977,50773658.5143769
BTC,2012-01-10,6.52847455523086,52756929.2392635
BTC,2012-01-11,6.88912772121566,55724087.3297058
BTC,2012-01-12,6.77356419579194,54841823.7652839
BTC,2012-01-13,6.45436889012273,52302655.5181213
BTC,2012-01-14,6.76172714260666,54844030.6997082
BTC,2012-01-15,7.04692255815312,57206212.5643619
BTC,2012-01-16,6.71560766656926,54575392.9763689
BTC,2012-01-17,5.59962195032145,45550124.6988936
BTC,2012-01-18,5.9002312881356,48033192.7342768
BTC,2012-01-19,6.31570634161309,51462900.7778292
BTC,2012-01-20,6.50149198831093,53023889.7015815
BTC,2012-01-21,6.18056832554062,50457226.8371272
